"Country or Area","Year(s)","Variant","Value"
"Colombia","2095-2100","Medium","1.779"
"Colombia","2090-2095","Medium","1.773"
"Colombia","2085-2090","Medium","1.764"
"Colombia","2080-2085","Medium","1.755"
"Colombia","2075-2080","Medium","1.744"
"Colombia","2070-2075","Medium","1.734"
"Colombia","2065-2070","Medium","1.722"
"Colombia","2060-2065","Medium","1.709"
"Colombia","2055-2060","Medium","1.695"
"Colombia","2050-2055","Medium","1.682"
"Colombia","2045-2050","Medium","1.669"
"Colombia","2040-2045","Medium","1.659"
"Colombia","2035-2040","Medium","1.655"
"Colombia","2030-2035","Medium","1.664"
"Colombia","2025-2030","Medium","1.691"
"Colombia","2020-2025","Medium","1.742"
"Colombia","2015-2020","Medium","1.827"
"Colombia","2010-2015","Medium","1.934"
"Colombia","2005-2010","Medium","2.100"
"Colombia","2000-2005","Medium","2.300"
"Colombia","1995-2000","Medium","2.500"
"Colombia","1990-1995","Medium","2.842"
"Colombia","1985-1990","Medium","3.175"
"Colombia","1980-1985","Medium","3.700"
"Colombia","1975-1980","Medium","4.253"
"Colombia","1970-1975","Medium","4.901"
"Colombia","1965-1970","Medium","6.181"
"Colombia","1960-1965","Medium","6.760"
"Colombia","1955-1960","Medium","6.760"
"Colombia","1950-1955","Medium","6.760"

